PULocationID,trips,revenue,avg_revenue,avg_fare_per_mile,avg_duration_per_mile,avg_tip_rate,Zone,Borough
27,3,265.58,88.52666666666666,10.45356084133258,2.289606076290859,0.06769230769230769,Breezy Point/Fort Tilden/Riis Beach,Queens
28,588,25593.05,43.525595238095235,46.06808975387018,4.728214020781063,0.04049178432814904,Briarwood/Jamaica Hills,Queens
29,218,8069.79,37.01738532110092,17.126957231695236,9.758950182571391,0.0020588686618599936,Brighton Beach,Brooklyn
30,10,456.3,45.63,277.457043052695,207.0492490472331,0.002793296089385475,Broad Channel,Queens
31,27,922.18,34.15481481481481,32.33587771302629,4.764149006494225,0.07417353359183242,Bronx Park,Bronx
32,203,7618.849999999999,37.531280788177334,6.244279959690642,6.753791489135232,0.0,Bronxdale,Bronx
33,2107,66060.38,31.35281442809682,39.3856532939987,30.69968196945271,0.08042629592158762,Brooklyn Heights,Brooklyn
34,178,5127.0,28.803370786516854,88.06650991148099,71.87223543764593,0.045342484757287846,Brooklyn Navy Yard,Brooklyn
35,1312,37399.0,28.505335365853657,9.949038022646716,10.445755699382515,0.0,Brownsville,Brooklyn
36,1009,28273.329999999998,28.021139742319125,12.192818242145876,8.44912138121772,0.021629446017684188,Bushwick North,Brooklyn
37,1455,41924.93,28.814384879725086,20.369923361788075,16.02542178962265,0.01677406087667872,Bushwick South,Brooklyn
38,183,8774.44,47.94775956284153,30.108426988682833,6.022151267529187,0.0060883216994441,Cambria Heights,Queens
39,1643,50285.21,30.60572732805843,9.007353402688,8.859374829471252,0.0022171140355817126,Canarsie,Brooklyn
40,645,19507.33,30.243922480620157,12.485170912471528,11.346219248813949,0.0681382438648157,Carroll Gardens,Brooklyn
41,9395,200371.4,21.32745077168707,23.432439224469704,17.33313985395759,0.08520181099226024,Central Harlem,Manhattan
42,4994,117137.49,23.455644773728476,32.862740221895095,19.943842028710463,0.030058274404995623,Central Harlem North,Manhattan
43,46224,1041808.2,22.538252855659398,11.481002094441457,8.698359611001699,0.21885831594771682,Central Park,Manhattan
45,5417,148241.92,27.366055011999265,22.551859571372738,15.519698211737909,0.13991700236242943,Chinatown,Manhattan
46,20,960.63,48.0315,3.758725494581449,3.2065419862593068,0.013014861995753715,City Island,Bronx
47,307,10385.93,33.83039087947883,16.878261342673866,11.396125368073882,0.0006837779304992909,Claremont/Bathgate,Bronx
48,78485,1809080.1,23.050010830094923,14.01009888899543,8.464377343898668,0.20906606077263257,Clinton East,Manhattan
49,1163,34099.54,29.320326741186587,24.899413012101224,21.78533776465785,0.03523879509811221,Clinton Hill,Brooklyn
50,16573,370464.34,22.353486996922708,15.389363253111172,11.788691717764998,0.1772813337400936,Clinton West,Manhattan
51,532,21540.06,40.48883458646617,9.513545976496369,8.395806772262256,0.0004354348514965574,Co-Op City,Bronx
52,687,20112.329999999998,29.27558951965065,26.549100987124916,22.19318775800227,0.09080391143305523,Cobble Hill,Brooklyn
53,172,6546.8,38.06279069767442,6.723381138095942,4.159263327469772,0.039771156187295924,College Point,Queens
54,196,6600.11,33.6740306122449,43.63958529773831,21.604657856903202,0.030419665324680236,Columbia Street,Brooklyn
55,616,24187.65,39.265665584415586,8.222065527563455,9.133757936340043,0.002769322981199769,Coney Island,Brooklyn
56,554,21054.42,38.004368231046925,28.61825417553942,13.821381055176717,0.019133388533812055,Corona,Queens
57,27,833.21,30.85962962962963,47.7456941042131,53.70174810698016,0.009351851851851853,Corona,Queens
58,21,880.04,41.906666666666666,3.9572819685277674,2.884709000618817,0.02385873904743775,Country Club,Bronx
59,7,247.7,35.385714285714286,5.451582385905418,4.718681121424602,0.0,Crotona Park,Bronx
60,235,7981.74,33.964851063829784,14.387519632710056,16.82096711967196,0.0032733224222585926,Crotona Park East,Bronx
61,2595,74025.86,28.5263429672447,17.810168040778173,16.753958039721585,0.011054689660324163,Crown Heights North,Brooklyn
62,821,23380.96,28.478635809987818,19.62191032824072,12.74337683395157,0.010776120525979323,Crown Heights South,Brooklyn
63,557,16970.2,30.467145421903055,11.358427801585771,10.085456093209132,0.0009287924351257761,Cypress Hills,Brooklyn
64,79,3076.47,38.9426582278481,33.91745764281594,2.649726466974201,0.015585473065286282,Douglaston,Queens
65,2210,67168.91,30.393171945701358,46.47465110054933,34.47423484899624,0.08395896610305739,Downtown Brooklyn/MetroTech,Brooklyn
66,1710,51650.24,30.20481871345029,46.6092143927321,34.874597254734084,0.07024304977888295,DUMBO/Vinegar Hill,Brooklyn
67,183,5830.71,31.861803278688523,8.00942689144776,5.899743344530663,0.008843848738131967,Dyker Heights,Brooklyn
68,84965,2089228.1199999999,24.58927935032072,14.399454415873818,10.83303232887555,0.20849856757337162,East Chelsea,Manhattan
69,701,22020.35,31.41276747503566,39.594248649784284,21.75640123764436,0.0038977234734213933,East Concourse/Concourse Village,Bronx
70,9255,593546.51,64.13252404105889,13.503684713301277,3.0424227370790025,0.2057804468706021,East Elmhurst,Queens
71,1037,29742.579999999998,28.68136933461909,10.577048893093975,10.746462964655848,0.0017535142026919954,East Flatbush/Farragut,Brooklyn
72,1263,34997.08,27.70948535233571,14.744242911732629,13.57188844690509,0.0008012992001311633,East Flatbush/Remsen Village,Brooklyn
73,65,1606.9,24.72153846153846,4.806642152563323,4.587815133393264,0.0,East Flushing,Queens
74,7777,169680.24,21.818212678410696,21.157485456160632,14.19349834711423,0.06963557427259986,East Harlem North,Manhattan
75,21010,442887.8,21.079857210851976,19.822500506787055,14.327198349827103,0.13957759307980563,East Harlem South,Manhattan
76,2384,72354.94,30.350226510067117,14.219199766859287,11.061497267218536,0.0018251311138063908,East New York,Brooklyn
77,599,17772.18,29.66974958263773,14.599773509037563,10.727536774373833,0.0004492024308309016,East New York/Pennsylvania Avenue,Brooklyn
78,325,10892.289999999999,33.51473846153846,14.848778200118549,15.533450974613734,0.002555962555962556,East Tremont,Bronx
79,75757,1681546.75,22.196585794052034,13.07305077011314,9.018165526625134,0.18709694450465802,East Village,Manhattan
80,1474,44626.03,30.27546132971506,26.72510913593601,10.816110664254053,0.03721975452039472,East Williamsburg,Brooklyn
